platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake,username,username_length,digits_count,digit_ratio,special_char_count,repeat_char_count
X,1.0,180.0,1.0,431.0,679.0,0.6338235294117647,,,0.2059447983014862,0.6994437129384926,0.5793539050397966,456.0,,5.0,1.0,0.0,0,dmitri,6,0,0.0,0,0
,1.0,214.0,,426.0,729.0,0.5835616438356165,3164.0,202.0,0.063823064770932,,0.1028655828041545,98.0,,141.0,,1.0,1,smpni6240,9,4,0.4444444444444444,0,0
X,1.0,87.0,,426.0,721.0,0.590027700831025,903.0,225.0,0.2488938053097345,0.858449712053312,0.3108625857326218,136.0,171.0,62.0,1.0,0.0,1,qgph5q343j,10,4,0.4,0,0
X,0.0,72.0,0.0,385.0,,0.5661764705882353,3433.0,175.0,0.0509609784507862,0.1764706267056565,0.076058376499418,186.0,46.0,117.0,1.0,1.0,0,mia,3,0,0.0,0,0
Instagram,0.0,162.0,,392.0,709.0,0.5521126760563381,,207.0,0.1629921259842519,0.265956645859814,0.5561299334471452,35.0,184.0,64.0,,1.0,0,martin,6,0,0.0,0,0
Instagram,0.0,178.0,0.0,,,0.5455820476858345,24.0,198.0,7.92,0.9410761111434156,0.1732681963759896,117.0,146.0,51.0,,1.0,0,hans2162,8,4,0.5,0,0
X,1.0,211.0,0.0,378.0,678.0,0.5567010309278351,4653.0,186.0,0.0399656209712075,0.4440452477798143,,157.0,161.0,,1.0,,0,camila,6,0,0.0,0,0
Facebook,1.0,36.0,0.0,,,0.5833333333333334,2749.0,241.0,,0.7890509430486558,0.5773140264564999,,130.0,124.0,0.0,0.0,1,bot_m9eto,9,1,0.1111111111111111,1,0
X,1.0,233.0,1.0,424.0,,0.5816186556927297,2451.0,200.0,0.0815660685154975,0.4921676486494891,0.0593756419310946,274.0,38.0,99.0,1.0,1.0,0,max.8814,8,4,0.5,1,1
,1.0,208.0,0.0,398.0,683.0,0.5818713450292398,1397.0,202.0,0.1444921316165951,0.4710856570257475,0.3008756636243189,168.0,91.0,135.0,1.0,1.0,1,izbzzx9w4r,10,2,0.2,0,1
X,1.0,238.0,1.0,408.0,664.0,0.6135338345864662,3358.0,,,0.1481162880296423,0.6163376672361268,54.0,74.0,95.0,1.0,0.0,0,tariq_2509,10,4,0.4,1,0
